RUN	src.test.scala.gorestapi.FeedDataWithinScript	feeddatawithinscript	1661406895548	aa	3.3.1
USER	Script - retrieving test data within script 	1	START	1661406897987	1661406897987
REQUEST	1		get user ids 2100	1661406898025	1661406901545	OK	 
REQUEST	1		get user ids 2101	1661406906574	1661406906804	OK	 
REQUEST	1		get user ids 2102	1661406911803	1661406911997	OK	 
REQUEST	1		get user ids 2103	1661406916994	1661406917275	OK	 
REQUEST	1		get user ids 2104	1661406922273	1661406922468	OK	 
REQUEST	1		get user ids 2105	1661406927472	1661406927625	OK	 
REQUEST	1		get user ids 2106	1661406932633	1661406932887	OK	 
REQUEST	1		get user ids 2107	1661406937885	1661406938120	OK	 
REQUEST	1		get user ids 2108	1661406943114	1661406943287	OK	 
REQUEST	1		get user ids 2109	1661406948293	1661406948511	OK	 
USER	Script - retrieving test data within script 	1	END	1661406897987	1661406953505
